sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
296,closed,ABS,0.2,50,zigzag,50,6.457000000000001,77.9,604.1023333333334,29489.36666666667,0.01533333333333333,2193.919333333333,6.013333333333333,3.406666666666667,True
297,closed,ABS,0.2,80,grid,30,5.047,77.8,653.2579999999999,31455.6,0.015,2470.910333333333,6.066666666666666,3.423333333333333,True
298,closed,ABS,0.2,80,triangles,50,6.023666666666667,78.3,623.9720000000001,28874.26666666667,0.01366666666666667,2506.725,6.173333333333333,3.51,True
299,closed,ABS,0.2,80,zigzag,70,7.334333333333333,78.0,718.4363333333334,33684.83333333334,0.017,2626.990666666667,6.149999999999999,3.47,True
300,closed,ABS,0.3,20,grid,70,4.915333333333334,71.6,636.2953333333334,29553.56666666667,0.01533333333333333,2262.710666666666,6.273333333333333,3.44,True
301,closed,ABS,0.3,20,triangles,30,5.354666666666667,78.3,611.8973333333333,29372.56666666667,0.01466666666666667,2299.157,6.056666666666668,3.44,True
302,closed,ABS,0.3,20,zigzag,50,4.371666666666667,75.9,654.3446666666667,29946.63333333333,0.01533333333333333,2213.812666666667,6.376666666666668,3.43,True
303,closed,ABS,0.3,50,grid,30,5.8053333333333335,73.6,640.2383333333333,30749.03333333334,0.015,2346.008333333333,6.116666666666667,3.403333333333334,True
304,closed,ABS,0.3,50,triangles,50,4.291333333333333,74.9,662.7806666666667,32326.93333333333,0.015,2495.679666666667,6.06,3.383333333333333,True
305,closed,ABS,0.3,50,zigzag,70,4.597,74.8,669.2306666666667,32935.7,0.016,2413.345666666667,6.0,3.386666666666667,True
306,closed,ABS,0.3,80,grid,50,4.705333333333333,77.0,704.9893333333333,34441.2,0.015,2635.694333333333,6.05,3.383333333333333,True
307,closed,ABS,0.3,80,triangles,70,3.972,77.4,718.2123333333333,34588.93333333333,0.015,2739.165333333333,6.056666666666668,3.43,True
308,closed,ABS,0.3,80,zigzag,30,6.377,75.7,721.4110000000001,35273.7,0.01533333333333333,2700.980666666667,6.056666666666668,3.376666666666666,True
309,closed,PLA+,0.1,20,lines,30,1.4773333333333334,65.1,591.389,28361.66666666667,0.016,2055.474,6.19,3.37,True
310,closed,PLA-CF,0.3,50,grid,30,3.699333333333333,75.8,550.9223333333333,25255.46666666666,0.008333333333333333,3789.251333333334,6.093333333333334,3.58,True
311,closed,PLA-CF,0.3,50,triangles,50,4.939333333333333,77.7,574.659,26628.43333333333,0.006666666666666667,4691.955,6.109999999999999,3.533333333333333,True
312,closed,PLA-CF,0.3,50,zigzag,70,7.524,75.9,604.4063333333334,26632.2,0.008666666666666666,3439.837333333333,6.123333333333334,3.706666666666667,True
313,closed,PLA-CF,0.3,80,grid,50,6.834666666666667,72.3,649.5206666666667,30060.83333333333,0.009333333333333332,3441.530666666667,6.076666666666667,3.556666666666667,True
314,closed,PLA-CF,0.3,80,triangles,70,7.298666666666667,73.4,630.3623333333334,28693.36666666667,0.008666666666666666,3562.369666666667,6.096666666666667,3.603333333333333,True
315,closed,PLA-CF,0.3,80,zigzag,30,9.728333333333333,73.7,685.6753333333332,30623.7,0.009,3938.381666666667,6.123333333333332,3.656666666666666,True
316,closed,PLA-CF,0.2,20,zigzag,30,2.5226666666666664,73.3,467.3756666666666,22267.63333333333,0.008666666666666666,3116.146333333334,6.173333333333333,3.4,True
317,closed,PLA-CF,0.2,50,grid,70,3.2100000000000004,73.0,546.6353333333333,26011.16666666667,0.011,2538.153333333333,6.256666666666667,3.36,True
318,closed,PLA-CF,0.2,50,triangles,30,2.8030000000000004,75.0,490.6516666666666,22977.3,0.007333333333333333,3382.504666666666,6.463333333333334,3.303333333333333,True
319,closed,PLA-CF,0.2,50,zigzag,50,5.955333333333333,73.3,468.5846666666666,22352.86666666667,0.01033333333333333,2413.052333333334,6.233333333333333,3.363333333333333,True
320,closed,PLA-CF,0.2,80,grid,30,3.228333333333333,78.4,520.3523333333334,24552.03333333334,0.009666666666666665,2715.502666666667,6.239999999999999,3.396666666666667,True
321,closed,PLA-CF,0.2,80,triangles,50,3.5706666666666664,78.2,474.958,23506.46666666666,0.008333333333333333,2890.889333333333,6.02,3.356666666666667,True
322,closed,PLA-CF,0.2,80,zigzag,70,3.6299999999999994,78.1,603.7056666666667,29660.4,0.01166666666666667,3020.38,6.033333333333334,3.373333333333334,True
323,closed,PLA-CF,0.3,20,zigzag,50,5.8276666666666666,75.1,574.382,27221.93333333333,0.01066666666666667,2904.819666666666,6.046666666666667,3.49,True
324,closed,PLA-CF,0.3,20,grid,70,7.361,74.3,559.2093333333333,25998.6,0.011,2705.348333333333,6.076666666666667,3.54,True
325,closed,PLA-CF,0.3,20,triangles,30,5.322666666666667,74.5,524.6376666666666,24797.8,0.009333333333333332,2923.724,6.079999999999999,3.48,True
326,closed,PLA-CF,0.1,20,grid,30,2.3793333333333333,56.3,349.7113333333334,17246.36666666666,0.01066666666666667,1789.276333333333,5.993333333333333,3.383333333333333,True
327,closed,PLA-CF,0.1,20,triangles,50,3.2213333333333334,58.2,349.008,17173.1,0.006666666666666667,2837.443,5.996666666666667,3.39,True
328,closed,PLA-CF,0.1,20,zigzag,70,2.1713333333333336,62.0,469.9623333333334,23017.73333333333,0.01233333333333333,2230.792666666667,6.033333333333334,3.383333333333333,True
329,closed,PLA-CF,0.1,50,grid,50,2.458,66.6,461.7796666666666,22505.33333333333,0.01033333333333333,2665.562666666667,6.016666666666666,3.41,True
330,closed,PLA-CF,0.1,50,triangles,70,4.725666666666666,67.8,369.937,18367.96666666666,0.009333333333333334,2143.306,5.963333333333334,3.376666666666666,True
331,closed,PLA-CF,0.1,50,zigzag,30,2.1783333333333332,66.7,416.9523333333333,20618.8,0.008333333333333333,2761.226,6.043333333333333,3.346666666666666,True
332,closed,PLA-CF,0.1,80,grid,70,4.427333333333333,71.9,480.8896666666667,23504.26666666667,0.01033333333333333,2752.380666666666,5.989999999999999,3.416666666666667,True
333,closed,PLA-CF,0.1,80,triangles,70,2.3876666666666666,76.4,495.5666666666667,23842.0,0.008666666666666666,3270.65,6.043333333333333,3.44,True
334,closed,PLA-CF,0.1,80,zigzag,50,0.0,75.9,553.3696666666666,27800.1,0.01066666666666667,3187.019333333333,5.953333333333333,3.343333333333333,False
335,closed,PLA-CF,0.2,20,grid,50,3.6016666666666666,68.3,407.8656666666666,20320.03333333333,0.009,2421.380333333333,5.986666666666667,3.353333333333333,True
336,closed,PLA-CF,0.2,20,triangles,70,4.018666666666666,64.4,420.0993333333333,21138.36666666667,0.009333333333333332,2511.812333333333,5.956666666666667,3.336666666666666,True
337,closed,PLA+,0.1,20,cubic,30,1.2843333333333333,74.0,617.3493333333333,30220.66666666667,0.01566666666666667,2204.899666666667,6.05,3.376666666666666,True
338,closed,PLA+,0.1,20,quarter cubic,30,2.5026666666666664,63.3,577.6336666666666,27898.93333333333,0.014,2189.136666666667,6.073333333333333,3.41,True
339,closed,PLA+,0.1,20,cross,30,1.388,64.3,568.0756666666666,28225.26666666667,0.01433333333333333,2207.814333333333,6.02,3.343333333333334,True
340,closed,PLA+,0.1,20,gyroid,30,2.218,64.5,566.3876666666666,27046.36666666667,0.015,2061.654333333333,6.07,3.450000000000001,True
341,closed,PLA+,0.1,20,lines,50,1.9829999999999999,64.8,576.3746666666667,28320.13333333333,0.01566666666666667,2100.532,6.033333333333334,3.373333333333334,True
342,closed,PLA+,0.1,20,cubic subdivision,50,1.8549999999999998,57.1,621.6926666666667,30172.43333333333,0.01666666666666667,2154.595666666667,6.036666666666666,3.413333333333334,True
343,closed,PLA+,0.1,20,quarter cubic,50,2.2963333333333336,57.0,632.9066666666666,31242.03333333334,0.01566666666666667,2245.592,6.053333333333334,3.346666666666666,True
344,closed,PLA+,0.1,20,cross,50,2.3373333333333335,66.1,603.7033333333334,29852.56666666667,0.015,2263.008,6.036666666666666,3.35,True
345,closed,PLA+,0.1,20,gyroid,50,2.0676666666666663,61.8,664.9313333333333,32674.03333333334,0.01666666666666667,2225.905,6.056666666666668,3.36,True
346,closed,PLA+,0.1,20,tri hexagon,70,2.677,64.7,627.3026666666666,30600.26666666667,0.015,2334.778,6.083333333333333,3.37,True
347,closed,PLA+,0.1,20,cubic subdivision,70,1.9189999999999998,58.2,683.4166666666666,33230.93333333333,0.01666666666666667,2296.855666666667,6.066666666666666,3.39,True
348,closed,PLA+,0.1,20,quarter cubic,70,2.2390000000000003,67.3,653.0606666666666,32274.93333333333,0.016,2264.489666666667,6.016666666666667,3.363333333333333,True
349,closed,PLA+,0.1,20,cross,70,2.1126666666666662,60.7,614.8903333333334,29932.3,0.01433333333333333,2295.312333333333,6.133333333333333,3.35,True
350,closed,PLA+,0.1,20,lightning,70,2.1839999999999997,61.5,528.331,25132.5,0.01433333333333333,2027.050666666667,6.07,3.463333333333333,True
351,closed,PLA+,0.1,50,tri hexagon,30,2.8850000000000002,80.3,601.7116666666667,28857.5,0.01366666666666667,2456.839,6.186666666666667,3.366666666666667,True
352,closed,PLA+,0.1,50,cubic subdivision,30,1.907333333333333,61.0,642.426,29284.13333333333,0.01466666666666667,2127.426666666667,6.453333333333333,3.4,True
353,closed,PLA+,0.1,50,quarter cubic,30,1.9949999999999999,75.0,638.5463333333333,29347.06666666667,0.01466666666666667,2241.376333333333,6.489999999999999,3.353333333333333,True
354,closed,PLA+,0.1,50,cross3d,30,1.8806666666666665,71.5,566.3826666666666,25910.1,0.01533333333333333,1892.043333333333,6.423333333333333,3.403333333333334,True
355,closed,PLA+,0.1,50,lightning,30,2.1923333333333335,64.3,531.9913333333334,24712.66666666667,0.01433333333333333,1854.656,6.406666666666666,3.36,True
356,closed,PLA+,0.1,50,tri hexagon,50,2.035,70.0,672.5096666666667,30150.33333333333,0.01433333333333333,2387.101,6.496666666666667,3.433333333333334,True
357,closed,PLA+,0.1,50,cubic subdivision,50,1.5923333333333334,76.9,758.8216666666667,34594.53333333333,0.01666666666666667,2437.424333333333,6.483333333333333,3.383333333333333,True
358,closed,PLA+,0.1,50,concentric,50,2.7583333333333333,70.1,754.9553333333333,33416.2,0.01666666666666667,2271.489333333333,6.45,3.503333333333333,True
359,closed,PLA+,0.1,50,cross3d,50,2.390333333333333,72.8,555.6103333333334,25195.16666666667,0.01633333333333334,1792.362,6.43,3.43,True
360,closed,PLA+,0.1,50,lightning,50,2.651,63.4,546.3353333333333,25239.8,0.01633333333333334,1736.979333333333,6.329999999999999,3.42,True
